Pais;Over25_H;Over15_H;GolsSofridos_H;GolsMarcados_H;MediaGols_H;PPG_H;Home;Hora;Away;PPG_A;MediaGols_A;GolsMarcados_A;GolsSofridos_A;Over15_A;Over25_A;BTTS_H;Vitorias_H;BTTS_A;Vitorias_A
GHA;46;62;1.08;1.31;2.38;1.62;Kotoku Royals;12:00:00;Aduana Stars;1.29;1.64;0.79;0.86;43;21;38;46;29;36
ARM;57;71;1.93;1.21;3.14;0.93;Noah;12:00:00;BKMA;0.79;1.86;0.71;1.14;50;36;50;21;36;14
ITA;53;88;1.47;1.24;2.71;1.18;Venezia;13:00:00;Modena;1.12;2.82;1.18;1.65;65;59;71;29;59;35
NOR;0;100;2;0;2;0;Valerenga;13:00:00;Lillestrom;0;2;0;2;100;0;0;0;0;0
IRE;33;50;1.5;0.67;2.17;0.83;UC Dublin;13:00:00;Dundalk;1;1.4;0.6;0.8;40;20;33;17;40;20
IRE;20;60;1.4;0.6;2;0.8;Drogheda Utd;13:00:00;Shelbourne;1;2;1;1;60;40;40;20;40;20
BOS;36;64;1;1.57;2.57;1.71;Velez Mostar;13:00:00;Borac Banja L.;1.38;2.08;1;1.08;54;31;50;43;31;38
POL;50;71;1.5;1.21;2.71;0.86;Odra Opole;13:00:00;Chrobry Glogow;1.43;3.57;1.5;2.07;79;57;64;21;57;43
AZE;62;75;1.69;1.31;3;1.44;Zira;13:00:00;Turan;1.13;1.67;0.6;1.07;47;33;62;38;27;27
HUN;71;93;1.71;1.86;3.57;1.79;Ujpest;13:00:00;Ferencvaros;1.86;2.86;1.86;1;71;50;79;50;43;57
CYP;20;53;0.4;1.27;1.67;1.93;APOEL Nicosia;13:00:00;Omonia Nicosia;0.87;2.67;0.93;1.73;80;60;20;53;47;27
IRE;80;100;1.6;1.8;3.4;1.8;Bohemians;13:00:00;Cork City;0.33;3.67;1.17;2.5;83;67;80;60;50;0
CYP;67;87;0.8;1.93;2.73;1.93;Aris;13:00:00;Paphos;1.69;2.06;1.38;0.69;69;31;60;53;38;44
CRO;47;73;1.4;1;2.4;1.4;Slaven Belupo;13:10:00;Rijeka;1.53;2.4;1.27;1.13;80;47;53;33;53;47
SPA;22;56;0.89;0.94;1.83;1.39;Malaga;13:30:00;Huesca;0.67;1.67;0.56;1.11;56;28;39;33;44;6
ENG;36;55;0.82;1.18;2;1.91;Blackburn;13:30:00;Luton Town;1.82;1.91;1.14;0.77;73;23;36;59;36;50
SWE;50;100;1.5;1;2.5;1.5;Djurgarden W;14:00:00;Hammarby W;3;3;2.5;0.5;100;50;50;50;50;100
SER;50;81;0.81;1.69;2.5;1.94;Backa Topola;14:00:00;Partizan;1.94;2.69;1.88;0.81;56;50;50;56;31;62
SPA;20;40;0.73;1.07;1.8;1.67;Mallorca;14:00:00;Athletic Bilbao;1.47;2.73;1.47;1.27;73;67;40;47;60;40
NOR;100;100;1;2;3;3;Stabaek B;14:00:00;Lokomotiv Oslo;1.5;4;1;3;50;50;100;100;50;50
POL;29;71;0.57;1.36;1.93;1.79;Cracovia Krakow;14:00:00;Miedz Legnica;0.43;2.57;0.86;1.71;71;50;29;50;57;7
EST;80;80;2.6;3;5.6;2;Flora B;14:00:00;Alliance;0.75;4;1.25;2.75;75;75;80;60;50;25
TUR;64;79;1.93;1.36;3.29;1.07;Istanbulspor;14:00:00;Giresunspor;0.8;2.87;0.87;2;87;60;57;29;67;13
